"Type"	"Family"	"Timepoint"	"Covariate1"	"Covariate2"	"Binary_phenotype_dynamic"	"Factor_phenotype_dynamic"	"Quant_phenotype_dynamic"	"Binary_phenotype_static"	"Factor_phenotype_static"	"Quant_phenotype_static"
"Sample0647"	"Infant"	"FAM216"	"W2"	"Covar1.3"	0.482599276074397	"BinaryDynamic2"	"LevelDynamic1"	-0.723563615373735	"BinaryStatic1"	"LevelStatic2"	0.0330519301852491
"Sample0648"	"Infant"	"FAM216"	"M3"	"Covar1.1"	-0.861239506548091	"BinaryDynamic2"	"LevelDynamic2"	1.16944505295438	"BinaryStatic1"	"LevelStatic2"	0.0330519301852491
"Sample0649"	"Infant"	"FAM216"	"M6"	"Covar1.3"	-0.465507726476707	"BinaryDynamic2"	"LevelDynamic2"	-0.960415378284127	"BinaryStatic1"	"LevelStatic2"	0.0330519301852491
"Sample0650"	"Infant"	"FAM216"	"M12"	"Covar1.3"	-1.38840970257199	"BinaryDynamic2"	"LevelDynamic1"	-0.774660080517658	"BinaryStatic1"	"LevelStatic2"	0.0330519301852491
"Sample0651"	"Infant"	"FAM217"	"M1"	"Covar1.1"	0.494310883699177	"BinaryDynamic2"	"LevelDynamic2"	0.504636112794139	"BinaryStatic1"	"LevelStatic1"	0.810812479178871
"Sample0652"	"Infant"	"FAM217"	"M3"	"Covar1.2"	-0.447774737710839	"BinaryDynamic2"	"LevelDynamic3"	-1.66219635075295	"BinaryStatic1"	"LevelStatic1"	0.810812479178871
"Sample0653"	"Infant"	"FAM218"	"W2"	"Covar1.1"	-0.845243025822087	"BinaryDynamic2"	"LevelDynamic3"	1.19438451071412	"BinaryStatic2"	"LevelStatic1"	-0.0277515554707507
"Sample0654"	"Infant"	"FAM218"	"M12"	"Covar1.1"	0.692127259774552	"BinaryDynamic1"	"LevelDynamic2"	-2.26526969434478	"BinaryStatic2"	"LevelStatic1"	-0.0277515554707507
"Sample0655"	"Infant"	"FAM218"	"M3"	"Covar1.2"	-0.554400351447954	"BinaryDynamic2"	"LevelDynamic1"	0.273073833537476	"BinaryStatic2"	"LevelStatic1"	-0.0277515554707507
"Sample0656"	"Infant"	"FAM218"	"M6"	"Covar1.1"	0.805144115271628	"BinaryDynamic1"	"LevelDynamic1"	0.713613050358823	"BinaryStatic2"	"LevelStatic1"	-0.0277515554707507
"Sample0657"	"Infant"	"FAM219"	"M3"	"Covar1.3"	-0.343846725138525	"BinaryDynamic1"	"LevelDynamic2"	-1.09565837576376	"BinaryStatic1"	"LevelStatic3"	0.428289416840964
"Sample0658"	"Infant"	"FAM219"	"W2"	"Covar1.1"	0.169318041646852	"BinaryDynamic2"	"LevelDynamic3"	0.260418357245502	"BinaryStatic1"	"LevelStatic3"	0.428289416840964
"Sample0659"	"Infant"	"FAM219"	"M6"	"Covar1.3"	0.280421965396122	"BinaryDynamic1"	"LevelDynamic2"	0.0965398539603628	"BinaryStatic1"	"LevelStatic3"	0.428289416840964
"Sample0660"	"Infant"	"FAM219"	"M12"	"Covar1.1"	0.717654589428342	"BinaryDynamic1"	"LevelDynamic1"	0.128597048115609	"BinaryStatic1"	"LevelStatic3"	0.428289416840964
"Sample0661"	"Infant"	"FAM219"	"M1"	"Covar1.3"	-0.398660716202873	"BinaryDynamic2"	"LevelDynamic2"	-0.518057168612174	"BinaryStatic1"	"LevelStatic3"	0.428289416840964
"Sample0662"	"Infant"	"FAM220"	"M1"	"Covar1.2"	1.0280059648229	"BinaryDynamic1"	"LevelDynamic2"	-1.5036331067594	"BinaryStatic2"	"LevelStatic3"	-0.0811109176007765
"Sample0663"	"Infant"	"FAM221"	"M3"	"Covar1.1"	0.53352921437778	"BinaryDynamic2"	"LevelDynamic1"	-1.15213179545735	"BinaryStatic1"	"LevelStatic1"	1.5300489931764
"Sample0664"	"Infant"	"FAM221"	"M1"	"Covar1.1"	1.98337843440331	"BinaryDynamic1"	"LevelDynamic1"	1.21683031400316	"BinaryStatic1"	"LevelStatic1"	1.5300489931764
"Sample0665"	"Infant"	"FAM221"	"W2"	"Covar1.2"	-1.20073705622921	"BinaryDynamic1"	"LevelDynamic1"	1.62988828349442	"BinaryStatic1"	"LevelStatic1"	1.5300489931764
"Sample0666"	"Infant"	"FAM222"	"M6"	"Covar1.2"	-0.414474090581805	"BinaryDynamic1"	"LevelDynamic2"	1.06202880929726	"BinaryStatic2"	"LevelStatic1"	1.00618534997371
"Sample0667"	"Infant"	"FAM222"	"W2"	"Covar1.2"	0.451136490702432	"BinaryDynamic1"	"LevelDynamic3"	-0.222409574580346	"BinaryStatic2"	"LevelStatic1"	1.00618534997371
"Sample0668"	"Infant"	"FAM222"	"M1"	"Covar1.2"	-0.262450560666971	"BinaryDynamic1"	"LevelDynamic2"	0.0767260909195517	"BinaryStatic2"	"LevelStatic1"	1.00618534997371
"Sample0669"	"Infant"	"FAM222"	"M3"	"Covar1.1"	1.02042672061091	"BinaryDynamic2"	"LevelDynamic1"	0.386973197843842	"BinaryStatic2"	"LevelStatic1"	1.00618534997371
"Sample0670"	"Infant"	"FAM223"	"M6"	"Covar1.2"	-0.43403248030227	"BinaryDynamic2"	"LevelDynamic2"	0.314619619479126	"BinaryStatic1"	"LevelStatic3"	0.715606222602049
"Sample0671"	"Infant"	"FAM224"	"M6"	"Covar1.3"	-0.335940938967553	"BinaryDynamic1"	"LevelDynamic3"	0.250718825081925	"BinaryStatic1"	"LevelStatic1"	0.134920382271668
"Sample0672"	"Infant"	"FAM224"	"M12"	"Covar1.1"	-0.218092381570754	"BinaryDynamic2"	"LevelDynamic1"	0.784331311280565	"BinaryStatic1"	"LevelStatic1"	0.134920382271668
"Sample0673"	"Infant"	"FAM225"	"W2"	"Covar1.2"	-0.114706806432635	"BinaryDynamic2"	"LevelDynamic3"	-0.425405697699693	"BinaryStatic1"	"LevelStatic3"	0.392517134199123
"Sample0674"	"Infant"	"FAM225"	"M6"	"Covar1.2"	0.090373957608694	"BinaryDynamic1"	"LevelDynamic2"	0.180223026685035	"BinaryStatic1"	"LevelStatic3"	0.392517134199123
"Sample0675"	"Infant"	"FAM225"	"M12"	"Covar1.3"	-1.29027186439312	"BinaryDynamic2"	"LevelDynamic3"	0.0954588434528564	"BinaryStatic1"	"LevelStatic3"	0.392517134199123
"Sample0676"	"Infant"	"FAM226"	"M3"	"Covar1.2"	-0.445302431780947	"BinaryDynamic1"	"LevelDynamic3"	-0.769781612198239	"BinaryStatic2"	"LevelStatic2"	-0.597235516492694
"Sample0677"	"Infant"	"FAM226"	"M1"	"Covar1.2"	1.05959611849342	"BinaryDynamic2"	"LevelDynamic1"	0.0709605863582638	"BinaryStatic2"	"LevelStatic2"	-0.597235516492694
"Sample0678"	"Infant"	"FAM226"	"W2"	"Covar1.2"	1.60176387946255	"BinaryDynamic2"	"LevelDynamic3"	-2.79888654230899	"BinaryStatic2"	"LevelStatic2"	-0.597235516492694
"Sample0679"	"Infant"	"FAM226"	"M6"	"Covar1.2"	0.290704963562124	"BinaryDynamic2"	"LevelDynamic2"	1.5517443476187	"BinaryStatic2"	"LevelStatic2"	-0.597235516492694
"Sample0680"	"Infant"	"FAM227"	"M6"	"Covar1.1"	-1.5398402644936	"BinaryDynamic2"	"LevelDynamic1"	0.0345764111005087	"BinaryStatic2"	"LevelStatic3"	0.0515928082994207
"Sample0681"	"Infant"	"FAM227"	"W2"	"Covar1.2"	1.43152193223662	"BinaryDynamic2"	"LevelDynamic3"	2.79563557249599	"BinaryStatic2"	"LevelStatic3"	0.0515928082994207
"Sample0682"	"Infant"	"FAM227"	"M1"	"Covar1.2"	1.1475890314884	"BinaryDynamic1"	"LevelDynamic3"	0.0069628570522411	"BinaryStatic2"	"LevelStatic3"	0.0515928082994207
"Sample0683"	"Infant"	"FAM227"	"M3"	"Covar1.2"	-0.0369320076461112	"BinaryDynamic1"	"LevelDynamic2"	-0.496664859855114	"BinaryStatic2"	"LevelStatic3"	0.0515928082994207
"Sample0684"	"Infant"	"FAM227"	"M12"	"Covar1.2"	0.390688747616043	"BinaryDynamic1"	"LevelDynamic1"	-0.898645675682099	"BinaryStatic2"	"LevelStatic3"	0.0515928082994207
"Sample0685"	"Infant"	"FAM228"	"M1"	"Covar1.1"	1.11208742842588	"BinaryDynamic2"	"LevelDynamic3"	0.394285379564168	"BinaryStatic2"	"LevelStatic1"	-0.433128973470182
"Sample0686"	"Infant"	"FAM228"	"M12"	"Covar1.3"	0.852353197942567	"BinaryDynamic1"	"LevelDynamic3"	1.6991929039938	"BinaryStatic2"	"LevelStatic1"	-0.433128973470182
"Sample0687"	"Infant"	"FAM228"	"M3"	"Covar1.2"	1.14932956130465	"BinaryDynamic2"	"LevelDynamic3"	-0.866863293707281	"BinaryStatic2"	"LevelStatic1"	-0.433128973470182
"Sample0688"	"Infant"	"FAM229"	"M3"	"Covar1.3"	-1.37341062252185	"BinaryDynamic2"	"LevelDynamic2"	-0.00197022273216265	"BinaryStatic2"	"LevelStatic3"	-0.0186818712684306
"Sample0689"	"Infant"	"FAM229"	"M12"	"Covar1.1"	-1.33478426311924	"BinaryDynamic1"	"LevelDynamic2"	-0.821282662756965	"BinaryStatic2"	"LevelStatic3"	-0.0186818712684306
"Sample0690"	"Infant"	"FAM229"	"M6"	"Covar1.1"	-0.324747858050283	"BinaryDynamic1"	"LevelDynamic3"	0.370395605618366	"BinaryStatic2"	"LevelStatic3"	-0.0186818712684306
"Sample0691"	"Infant"	"FAM230"	"M6"	"Covar1.1"	-0.922288234919009	"BinaryDynamic1"	"LevelDynamic2"	1.32380277350668	"BinaryStatic1"	"LevelStatic3"	-1.01541044729776
"Sample0692"	"Infant"	"FAM230"	"M1"	"Covar1.3"	0.92873970287116	"BinaryDynamic1"	"LevelDynamic1"	0.941966393245645	"BinaryStatic1"	"LevelStatic3"	-1.01541044729776
"Sample0693"	"Infant"	"FAM230"	"M12"	"Covar1.2"	0.705086309642083	"BinaryDynamic2"	"LevelDynamic2"	1.23758783710568	"BinaryStatic1"	"LevelStatic3"	-1.01541044729776
"Sample0694"	"Infant"	"FAM230"	"W2"	"Covar1.1"	-0.0590209227685563	"BinaryDynamic2"	"LevelDynamic2"	-0.518273860738238	"BinaryStatic1"	"LevelStatic3"	-1.01541044729776
"Sample0695"	"Infant"	"FAM231"	"M1"	"Covar1.1"	-0.740775868739709	"BinaryDynamic1"	"LevelDynamic3"	-1.66439045607597	"BinaryStatic2"	"LevelStatic3"	1.75246469458717
"Sample0696"	"Infant"	"FAM231"	"W2"	"Covar1.2"	-1.67173099749737	"BinaryDynamic1"	"LevelDynamic1"	-2.51929787493101	"BinaryStatic2"	"LevelStatic3"	1.75246469458717
"Sample0697"	"Infant"	"FAM231"	"M6"	"Covar1.3"	-0.612541215827006	"BinaryDynamic2"	"LevelDynamic1"	0.628098039045993	"BinaryStatic2"	"LevelStatic3"	1.75246469458717
"Sample0698"	"Infant"	"FAM231"	"M3"	"Covar1.3"	-1.48286853528974	"BinaryDynamic1"	"LevelDynamic2"	0.0508466183080906	"BinaryStatic2"	"LevelStatic3"	1.75246469458717
"Sample0699"	"Infant"	"FAM231"	"M12"	"Covar1.1"	-0.71213118391869	"BinaryDynamic2"	"LevelDynamic1"	-0.579694238371573	"BinaryStatic2"	"LevelStatic3"	1.75246469458717
"Sample0700"	"Infant"	"FAM232"	"M12"	"Covar1.2"	-0.277137445806187	"BinaryDynamic1"	"LevelDynamic3"	-1.44489188016903	"BinaryStatic1"	"LevelStatic2"	-0.666652037470315
"Sample0701"	"Infant"	"FAM232"	"M3"	"Covar1.2"	-0.00722792989139269	"BinaryDynamic2"	"LevelDynamic3"	-0.64071023719217	"BinaryStatic1"	"LevelStatic2"	-0.666652037470315
"Sample0702"	"Infant"	"FAM232"	"M6"	"Covar1.1"	0.505992335498047	"BinaryDynamic1"	"LevelDynamic1"	-0.136678211557641	"BinaryStatic1"	"LevelStatic2"	-0.666652037470315
"Sample0703"	"Infant"	"FAM232"	"W2"	"Covar1.2"	1.23163275222356	"BinaryDynamic1"	"LevelDynamic1"	0.739676546847995	"BinaryStatic1"	"LevelStatic2"	-0.666652037470315
"Sample0704"	"Infant"	"FAM233"	"M3"	"Covar1.2"	0.276685312887525	"BinaryDynamic1"	"LevelDynamic3"	-0.197175172282434	"BinaryStatic2"	"LevelStatic2"	0.0623777632887794
"Sample0705"	"Infant"	"FAM233"	"M6"	"Covar1.2"	-2.09970117138004	"BinaryDynamic2"	"LevelDynamic1"	-0.384230491221421	"BinaryStatic2"	"LevelStatic2"	0.0623777632887794
"Sample0706"	"Infant"	"FAM233"	"W2"	"Covar1.1"	-0.803775430626082	"BinaryDynamic1"	"LevelDynamic3"	-0.651519018970837	"BinaryStatic2"	"LevelStatic2"	0.0623777632887794
"Sample0707"	"Infant"	"FAM233"	"M1"	"Covar1.1"	0.804082706755595	"BinaryDynamic2"	"LevelDynamic3"	0.11643667255265	"BinaryStatic2"	"LevelStatic2"	0.0623777632887794
"Sample0708"	"Infant"	"FAM234"	"M12"	"Covar1.2"	-0.177674868331488	"BinaryDynamic2"	"LevelDynamic1"	0.443733235571807	"BinaryStatic2"	"LevelStatic3"	-1.21629304642268
"Sample0709"	"Infant"	"FAM234"	"M3"	"Covar1.2"	-0.494156769663437	"BinaryDynamic2"	"LevelDynamic1"	-0.00729905337564465	"BinaryStatic2"	"LevelStatic3"	-1.21629304642268
"Sample0710"	"Infant"	"FAM234"	"W2"	"Covar1.3"	0.980121542524162	"BinaryDynamic1"	"LevelDynamic3"	0.0059416529116118	"BinaryStatic2"	"LevelStatic3"	-1.21629304642268
"Sample0711"	"Infant"	"FAM234"	"M6"	"Covar1.3"	-0.10056813602669	"BinaryDynamic2"	"LevelDynamic3"	0.121820751700732	"BinaryStatic2"	"LevelStatic3"	-1.21629304642268
"Sample0712"	"Infant"	"FAM234"	"M1"	"Covar1.1"	0.970848486101545	"BinaryDynamic2"	"LevelDynamic2"	-0.750321969960161	"BinaryStatic2"	"LevelStatic3"	-1.21629304642268
"Sample0713"	"Infant"	"FAM235"	"M1"	"Covar1.2"	-0.310366879864164	"BinaryDynamic1"	"LevelDynamic2"	1.47632419249665	"BinaryStatic1"	"LevelStatic3"	-0.451754220289166
"Sample0714"	"Infant"	"FAM235"	"M12"	"Covar1.3"	0.654996309218518	"BinaryDynamic2"	"LevelDynamic2"	-1.48239630715846	"BinaryStatic1"	"LevelStatic3"	-0.451754220289166
"Sample0715"	"Infant"	"FAM235"	"M3"	"Covar1.1"	-0.376913155880549	"BinaryDynamic2"	"LevelDynamic3"	1.76890963491822	"BinaryStatic1"	"LevelStatic3"	-0.451754220289166
"Sample0716"	"Infant"	"FAM235"	"M6"	"Covar1.1"	0.510511530249471	"BinaryDynamic1"	"LevelDynamic1"	0.447274039261335	"BinaryStatic1"	"LevelStatic3"	-0.451754220289166
"Sample0717"	"Infant"	"FAM236"	"M6"	"Covar1.1"	0.43622840726424	"BinaryDynamic1"	"LevelDynamic2"	1.10710746224773	"BinaryStatic1"	"LevelStatic3"	-1.08010312402947
"Sample0718"	"Infant"	"FAM236"	"M12"	"Covar1.2"	-0.113637816241966	"BinaryDynamic1"	"LevelDynamic1"	-0.773441978959427	"BinaryStatic1"	"LevelStatic3"	-1.08010312402947
"Sample0719"	"Infant"	"FAM237"	"W2"	"Covar1.2"	1.33940885629495	"BinaryDynamic1"	"LevelDynamic2"	-1.25515234602994	"BinaryStatic1"	"LevelStatic3"	-0.821967175582791
"Sample0720"	"Infant"	"FAM237"	"M1"	"Covar1.3"	-0.0218513586569336	"BinaryDynamic2"	"LevelDynamic2"	0.563803474792552	"BinaryStatic1"	"LevelStatic3"	-0.821967175582791
"Sample0721"	"Infant"	"FAM237"	"M3"	"Covar1.2"	0.373164528251115	"BinaryDynamic2"	"LevelDynamic1"	-0.778673948422437	"BinaryStatic1"	"LevelStatic3"	-0.821967175582791
"Sample0722"	"Infant"	"FAM238"	"M6"	"Covar1.3"	0.975058565890974	"BinaryDynamic1"	"LevelDynamic2"	-0.634083353043938	"BinaryStatic1"	"LevelStatic1"	-1.48320292241603
"Sample0723"	"Infant"	"FAM238"	"M1"	"Covar1.2"	0.428690951318362	"BinaryDynamic2"	"LevelDynamic3"	-1.00123698376417	"BinaryStatic1"	"LevelStatic1"	-1.48320292241603
"Sample0724"	"Infant"	"FAM239"	"M1"	"Covar1.2"	-0.271214166419369	"BinaryDynamic1"	"LevelDynamic1"	0.121868392356512	"BinaryStatic1"	"LevelStatic2"	0.193322664318416
"Sample0725"	"Infant"	"FAM239"	"M3"	"Covar1.1"	-1.46472965857938	"BinaryDynamic2"	"LevelDynamic3"	-1.16547082233136	"BinaryStatic1"	"LevelStatic2"	0.193322664318416
"Sample0726"	"Infant"	"FAM239"	"W2"	"Covar1.2"	1.12136237253886	"BinaryDynamic1"	"LevelDynamic3"	-0.393858863404829	"BinaryStatic1"	"LevelStatic2"	0.193322664318416
"Sample0727"	"Infant"	"FAM240"	"M12"	"Covar1.3"	-2.09093337363249	"BinaryDynamic1"	"LevelDynamic1"	1.19189315997885	"BinaryStatic2"	"LevelStatic3"	-1.42328173031288
"Sample0728"	"Infant"	"FAM240"	"M3"	"Covar1.2"	0.594813435824133	"BinaryDynamic1"	"LevelDynamic3"	-0.807218441777894	"BinaryStatic2"	"LevelStatic3"	-1.42328173031288
"Sample0729"	"Infant"	"FAM240"	"W2"	"Covar1.3"	-1.22252855803645	"BinaryDynamic2"	"LevelDynamic1"	1.72749597599978	"BinaryStatic2"	"LevelStatic3"	-1.42328173031288
"Sample0730"	"Infant"	"FAM240"	"M1"	"Covar1.2"	-0.0678768826920807	"BinaryDynamic2"	"LevelDynamic2"	-0.878064839093935	"BinaryStatic2"	"LevelStatic3"	-1.42328173031288
"Sample0731"	"Infant"	"FAM241"	"W2"	"Covar1.3"	-0.0834526806469843	"BinaryDynamic1"	"LevelDynamic3"	-0.184266049016261	"BinaryStatic2"	"LevelStatic1"	0.472478841745937
"Sample0732"	"Infant"	"FAM241"	"M1"	"Covar1.3"	-1.77454980173004	"BinaryDynamic1"	"LevelDynamic3"	1.09923321648092	"BinaryStatic2"	"LevelStatic1"	0.472478841745937
"Sample0733"	"Infant"	"FAM242"	"M1"	"Covar1.1"	-0.651151381128995	"BinaryDynamic1"	"LevelDynamic1"	0.823777502198561	"BinaryStatic2"	"LevelStatic2"	0.784023233919938
"Sample0734"	"Infant"	"FAM242"	"M3"	"Covar1.3"	-1.27796221073948	"BinaryDynamic2"	"LevelDynamic3"	0.984352508938911	"BinaryStatic2"	"LevelStatic2"	0.784023233919938
"Sample0735"	"Infant"	"FAM242"	"M12"	"Covar1.3"	-1.07304892113685	"BinaryDynamic1"	"LevelDynamic1"	-0.198727031471289	"BinaryStatic2"	"LevelStatic2"	0.784023233919938
"Sample0736"	"Infant"	"FAM242"	"W2"	"Covar1.2"	-0.20598745128514	"BinaryDynamic2"	"LevelDynamic3"	0.777664385554949	"BinaryStatic2"	"LevelStatic2"	0.784023233919938
"Sample0737"	"Infant"	"FAM243"	"W2"	"Covar1.1"	-0.474454059463991	"BinaryDynamic1"	"LevelDynamic1"	0.920431447355289	"BinaryStatic2"	"LevelStatic3"	-0.721491579689783
"Sample0738"	"Infant"	"FAM243"	"M6"	"Covar1.2"	0.736065656861654	"BinaryDynamic1"	"LevelDynamic1"	-1.20621423607703	"BinaryStatic2"	"LevelStatic3"	-0.721491579689783
"Sample0739"	"Infant"	"FAM244"	"M12"	"Covar1.2"	-1.01819225085773	"BinaryDynamic2"	"LevelDynamic3"	-0.524393070091833	"BinaryStatic1"	"LevelStatic3"	2.03138600990858
"Sample0740"	"Infant"	"FAM244"	"M6"	"Covar1.2"	-0.78662902278494	"BinaryDynamic2"	"LevelDynamic1"	0.180192655931983	"BinaryStatic1"	"LevelStatic3"	2.03138600990858
"Sample0741"	"Infant"	"FAM245"	"M1"	"Covar1.2"	0.0376161805801649	"BinaryDynamic2"	"LevelDynamic2"	0.35175873098379	"BinaryStatic2"	"LevelStatic1"	1.08949631278456
"Sample0742"	"Infant"	"FAM246"	"M3"	"Covar1.2"	-1.85714141506033	"BinaryDynamic2"	"LevelDynamic3"	0.0639130362264401	"BinaryStatic2"	"LevelStatic1"	-1.04092029537743
"Sample0743"	"Infant"	"FAM246"	"M6"	"Covar1.3"	-0.168876560809693	"BinaryDynamic2"	"LevelDynamic1"	-1.10093337931629	"BinaryStatic2"	"LevelStatic1"	-1.04092029537743
"Sample0744"	"Infant"	"FAM246"	"M1"	"Covar1.2"	-0.247124779081277	"BinaryDynamic1"	"LevelDynamic3"	-1.16010201520972	"BinaryStatic2"	"LevelStatic1"	-1.04092029537743
"Sample0745"	"Infant"	"FAM246"	"W2"	"Covar1.1"	-0.954434193635686	"BinaryDynamic2"	"LevelDynamic3"	0.160566884560989	"BinaryStatic2"	"LevelStatic1"	-1.04092029537743
"Sample0746"	"Infant"	"FAM247"	"W2"	"Covar1.1"	-0.550610577398466	"BinaryDynamic2"	"LevelDynamic1"	0.692092515645255	"BinaryStatic2"	"LevelStatic2"	0.79144586222383
"Sample0747"	"Infant"	"FAM247"	"M6"	"Covar1.3"	-1.64139744423389	"BinaryDynamic2"	"LevelDynamic3"	0.870502062925517	"BinaryStatic2"	"LevelStatic2"	0.79144586222383
"Sample0748"	"Infant"	"FAM248"	"M3"	"Covar1.2"	-0.781575921650955	"BinaryDynamic2"	"LevelDynamic2"	1.35337878836126	"BinaryStatic1"	"LevelStatic1"	-0.976690249544144
"Sample0749"	"Infant"	"FAM248"	"M6"	"Covar1.3"	-0.394591207093351	"BinaryDynamic2"	"LevelDynamic1"	0.0829852551656446	"BinaryStatic1"	"LevelStatic1"	-0.976690249544144
"Sample0750"	"Infant"	"FAM248"	"M12"	"Covar1.3"	-0.469383314539063	"BinaryDynamic1"	"LevelDynamic3"	1.22196712316319	"BinaryStatic1"	"LevelStatic1"	-0.976690249544144
"Sample0751"	"Infant"	"FAM249"	"M1"	"Covar1.2"	-0.735999128417405	"BinaryDynamic1"	"LevelDynamic2"	0.883383763224457	"BinaryStatic2"	"LevelStatic2"	-1.86637805422716
"Sample0752"	"Infant"	"FAM249"	"W2"	"Covar1.2"	-2.1491238970204	"BinaryDynamic2"	"LevelDynamic3"	0.331636008303828	"BinaryStatic2"	"LevelStatic2"	-1.86637805422716
"Sample0753"	"Infant"	"FAM249"	"M3"	"Covar1.1"	0.132892471811892	"BinaryDynamic1"	"LevelDynamic3"	0.0679074111998234	"BinaryStatic2"	"LevelStatic2"	-1.86637805422716
"Sample0754"	"Infant"	"FAM249"	"M6"	"Covar1.3"	-1.22840510433402	"BinaryDynamic2"	"LevelDynamic2"	1.17087991162708	"BinaryStatic2"	"LevelStatic2"	-1.86637805422716
"Sample0755"	"Infant"	"FAM249"	"M12"	"Covar1.3"	-0.24767481305761	"BinaryDynamic1"	"LevelDynamic2"	0.650824861414543	"BinaryStatic2"	"LevelStatic2"	-1.86637805422716
"Sample0756"	"Infant"	"FAM250"	"M3"	"Covar1.1"	0.0465609630034831	"BinaryDynamic2"	"LevelDynamic3"	-0.272844502978474	"BinaryStatic2"	"LevelStatic2"	-0.357546834447439
"Sample0757"	"Infant"	"FAM251"	"M3"	"Covar1.1"	0.402484703932059	"BinaryDynamic2"	"LevelDynamic2"	-0.828961693363052	"BinaryStatic1"	"LevelStatic3"	-0.0105033167844009
"Sample0758"	"Infant"	"FAM251"	"M12"	"Covar1.1"	-0.112161426828015	"BinaryDynamic2"	"LevelDynamic2"	1.10752888208234	"BinaryStatic1"	"LevelStatic3"	-0.0105033167844009
"Sample0759"	"Infant"	"FAM251"	"M1"	"Covar1.2"	-0.567274117442933	"BinaryDynamic1"	"LevelDynamic2"	-0.475603016557273	"BinaryStatic1"	"LevelStatic3"	-0.0105033167844009
"Sample0760"	"Infant"	"FAM251"	"M6"	"Covar1.2"	-0.992337662046278	"BinaryDynamic1"	"LevelDynamic3"	0.541764178068927	"BinaryStatic1"	"LevelStatic3"	-0.0105033167844009
"Sample0761"	"Infant"	"FAM251"	"W2"	"Covar1.3"	1.03936805870832	"BinaryDynamic1"	"LevelDynamic2"	1.21508119456659	"BinaryStatic1"	"LevelStatic3"	-0.0105033167844009
"Sample0762"	"Infant"	"FAM252"	"M12"	"Covar1.1"	0.0598427201580219	"BinaryDynamic1"	"LevelDynamic2"	-0.340981557535857	"BinaryStatic1"	"LevelStatic3"	0.0910054069015083
"Sample0763"	"Infant"	"FAM252"	"M1"	"Covar1.1"	-1.14933906139856	"BinaryDynamic2"	"LevelDynamic1"	-0.340359149654931	"BinaryStatic1"	"LevelStatic3"	0.0910054069015083
"Sample0764"	"Infant"	"FAM252"	"W2"	"Covar1.1"	-1.87055140838007	"BinaryDynamic2"	"LevelDynamic2"	0.050180586166011	"BinaryStatic1"	"LevelStatic3"	0.0910054069015083
"Sample0765"	"Infant"	"FAM253"	"M3"	"Covar1.2"	0.462124610549455	"BinaryDynamic1"	"LevelDynamic2"	1.15094886680863	"BinaryStatic1"	"LevelStatic2"	-0.793278748877066
"Sample0766"	"Infant"	"FAM253"	"M6"	"Covar1.2"	0.286521464155645	"BinaryDynamic1"	"LevelDynamic3"	-1.68109422784048	"BinaryStatic1"	"LevelStatic2"	-0.793278748877066
"Sample0767"	"Infant"	"FAM253"	"M1"	"Covar1.1"	1.08188443726883	"BinaryDynamic2"	"LevelDynamic1"	1.76677543753379	"BinaryStatic1"	"LevelStatic2"	-0.793278748877066
"Sample0768"	"Infant"	"FAM254"	"M6"	"Covar1.3"	1.09134840256743	"BinaryDynamic2"	"LevelDynamic2"	-0.987461502125462	"BinaryStatic2"	"LevelStatic3"	0.965896654376466
"Sample0769"	"Infant"	"FAM254"	"M1"	"Covar1.2"	2.25769840603041	"BinaryDynamic2"	"LevelDynamic1"	-0.979626455002404	"BinaryStatic2"	"LevelStatic3"	0.965896654376466
"Sample0770"	"Infant"	"FAM254"	"W2"	"Covar1.3"	-1.28702661360351	"BinaryDynamic2"	"LevelDynamic1"	-0.695321271313566	"BinaryStatic2"	"LevelStatic3"	0.965896654376466
"Sample0771"	"Infant"	"FAM255"	"M12"	"Covar1.1"	-1.22080303572	"BinaryDynamic1"	"LevelDynamic1"	0.0987358942707012	"BinaryStatic2"	"LevelStatic1"	-0.741565655298162
"Sample0772"	"Infant"	"FAM255"	"M6"	"Covar1.3"	-1.50047956507908	"BinaryDynamic2"	"LevelDynamic2"	0.914306820467646	"BinaryStatic2"	"LevelStatic1"	-0.741565655298162
"Sample0773"	"Infant"	"FAM256"	"M12"	"Covar1.2"	-0.590727059737978	"BinaryDynamic1"	"LevelDynamic1"	0.465705994515307	"BinaryStatic1"	"LevelStatic2"	-1.03120533955647
"Sample0774"	"Infant"	"FAM256"	"M3"	"Covar1.1"	0.767959651027252	"BinaryDynamic1"	"LevelDynamic3"	-1.76322319658878	"BinaryStatic1"	"LevelStatic2"	-1.03120533955647
"Sample0775"	"Infant"	"FAM257"	"M3"	"Covar1.2"	0.409779947427045	"BinaryDynamic1"	"LevelDynamic3"	0.368801573818114	"BinaryStatic1"	"LevelStatic1"	-2.22929413456591
"Sample0776"	"Infant"	"FAM257"	"M12"	"Covar1.3"	0.973400941237074	"BinaryDynamic1"	"LevelDynamic1"	-0.709434722042981	"BinaryStatic1"	"LevelStatic1"	-2.22929413456591
"Sample0777"	"Infant"	"FAM257"	"M1"	"Covar1.3"	-1.36392238722292	"BinaryDynamic1"	"LevelDynamic1"	0.194335638335095	"BinaryStatic1"	"LevelStatic1"	-2.22929413456591
"Sample0778"	"Infant"	"FAM257"	"W2"	"Covar1.3"	-0.0115796151778788	"BinaryDynamic1"	"LevelDynamic1"	-0.160956853651137	"BinaryStatic1"	"LevelStatic1"	-2.22929413456591
